session_test_id,email,age,gender,feedback,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
formal_test,Mathys,22,male,,classical_reconstruction,irlma,80,534993,
formal_test,Mathys,22,male,,classical_reconstruction,fastmnmf2,80,534993,
formal_test,Mathys,22,male,,classical_reconstruction,reference,100,534993,
formal_test,Mathys,22,male,,classical_reconstruction,demuc,100,534993,
formal_test,Mathys,22,male,,classical_piano,mix,20,123192,
formal_test,Mathys,22,male,,classical_piano,fastmnmf2,50,123192,
formal_test,Mathys,22,male,,classical_piano,irlma,40,123192,
formal_test,Mathys,22,male,,classical_piano,reference,90,123192,
formal_test,Mathys,22,male,,classical_piano,demuc,95,123192,
formal_test,Mathys,22,male,,classical_clarinette,irlma,60,150095,
formal_test,Mathys,22,male,,classical_clarinette,mix,0,150095,
formal_test,Mathys,22,male,,classical_clarinette,demuc,25,150095,
formal_test,Mathys,22,male,,classical_clarinette,reference,60,150095,
formal_test,Mathys,22,male,,classical_clarinette,fastmnmf2,25,150095,
formal_test,Mathys,22,male,,classical_violin,irlma,0,123961,
formal_test,Mathys,22,male,,classical_violin,demuc,10,123961,
formal_test,Mathys,22,male,,classical_violin,mix,10,123961,
formal_test,Mathys,22,male,,classical_violin,reference,60,123961,
formal_test,Mathys,22,male,,classical_violin,fastmnmf2,10,123961,
formal_test,Mathys,22,male,,jazz_reconstruction,reference,90,102187,
formal_test,Mathys,22,male,,jazz_reconstruction,irlma,90,102187,
formal_test,Mathys,22,male,,jazz_reconstruction,spleeter,85,102187,
formal_test,Mathys,22,male,,jazz_reconstruction,fastmnmf2,50,102187,
formal_test,Mathys,22,male,,jazz_reconstruction,demuc,50,102187,
formal_test,Mathys,22,male,,jazz_drum,reference,86,306078,
formal_test,Mathys,22,male,,jazz_drum,spleeter,75,306078,
formal_test,Mathys,22,male,,jazz_drum,fastmnmf2,80,306078,
formal_test,Mathys,22,male,,jazz_drum,demuc,95,306078,
formal_test,Mathys,22,male,,jazz_drum,mix,35,306078,
formal_test,Mathys,22,male,,jazz_drum,irlma,85,306078,
formal_test,Mathys,22,male,,jazz_piano,reference,80,101994,
formal_test,Mathys,22,male,,jazz_piano,fastmnmf2,85,101994,
formal_test,Mathys,22,male,,jazz_piano,mix,0,101994,
formal_test,Mathys,22,male,,jazz_piano,irlma,20,101994,
formal_test,Mathys,22,male,,jazz_piano,spleeter,100,101994,
formal_test,Mathys,22,male,,jazz_voice,spleeter,100,198209,
formal_test,Mathys,22,male,,jazz_voice,demuc,96,198209,
formal_test,Mathys,22,male,,jazz_voice,reference,66,198209,
formal_test,Mathys,22,male,,jazz_voice,mix,30,198209,
formal_test,Mathys,22,male,,jazz_voice,fastmnmf2,75,198209,
formal_test,Mathys,22,male,,jazz_voice,irlma,60,198209,
formal_test,Mathys,22,male,,jazz_bass,spleeter,95,137167,
formal_test,Mathys,22,male,,jazz_bass,demuc,94,137167,
formal_test,Mathys,22,male,,jazz_bass,irlma,0,137167,
formal_test,Mathys,22,male,,jazz_bass,fastmnmf2,0,137167,
formal_test,Mathys,22,male,,jazz_bass,mix,10,137167,
formal_test,Mathys,22,male,,jazz_bass,reference,10,137167,
formal_test,Mathys,22,male,,jazz_saxophone,irlma,20,124431,
formal_test,Mathys,22,male,,jazz_saxophone,spleeter,20,124431,
formal_test,Mathys,22,male,,jazz_saxophone,reference,80,124431,
formal_test,Mathys,22,male,,jazz_saxophone,mix,25,124431,
formal_test,Mathys,22,male,,jazz_saxophone,fastmnmf2,70,124431,
formal_test,Evan,21,male,,classical_reconstruction,fastmnmf2,83,141570,
formal_test,Evan,21,male,,classical_reconstruction,reference,52,141570,
formal_test,Evan,21,male,,classical_reconstruction,irlma,28,141570,
formal_test,Evan,21,male,,classical_reconstruction,demuc,66,141570,
formal_test,Evan,21,male,,classical_piano,irlma,84,93662,
formal_test,Evan,21,male,,classical_piano,fastmnmf2,28,93662,
formal_test,Evan,21,male,,classical_piano,reference,46,93662,
formal_test,Evan,21,male,,classical_piano,mix,71,93662,
formal_test,Evan,21,male,,classical_piano,demuc,33,93662,
formal_test,Evan,21,male,,classical_violin,irlma,18,68200,
formal_test,Evan,21,male,,classical_violin,fastmnmf2,26,68200,
formal_test,Evan,21,male,,classical_violin,reference,71,68200,
formal_test,Evan,21,male,,classical_violin,demuc,42,68200,
formal_test,Evan,21,male,,classical_violin,mix,72,68200,
formal_test,Evan,21,male,,classical_clarinette,irlma,12,73825,
formal_test,Evan,21,male,,classical_clarinette,reference,68,73825,
formal_test,Evan,21,male,,classical_clarinette,mix,86,73825,
formal_test,Evan,21,male,,classical_clarinette,fastmnmf2,50,73825,
formal_test,Evan,21,male,,classical_clarinette,demuc,52,73825,
formal_test,Evan,21,male,,jazz_reconstruction,spleeter,72,89224,
formal_test,Evan,21,male,,jazz_reconstruction,fastmnmf2,55,89224,
formal_test,Evan,21,male,,jazz_reconstruction,demuc,11,89224,
formal_test,Evan,21,male,,jazz_reconstruction,irlma,37,89224,
formal_test,Evan,21,male,,jazz_reconstruction,reference,56,89224,
formal_test,Evan,21,male,,jazz_drum,fastmnmf2,28,50216,
formal_test,Evan,21,male,,jazz_drum,reference,58,50216,
formal_test,Evan,21,male,,jazz_drum,demuc,31,50216,
